Terminal,Name,Distance,PostalCodeHigh
ENG,ENG-DUTSE JIGAWA STATE,0.00,720231
ENG,ENUGU-IREPODUN-EKITI,0.00,362007
KAN,KANO-SHENDAM-PLATEAU,0.00,940101
PHC,PHC-IJEBU ODE,0.00,3700004
PHC,PHC-IJEBU ODE__RENAMED__1,0.00,3700004
SAP,SAPELE SITE - SANDAMU - KATSINA STATE__RENAMED__2,0.00,3000010
SAP,SAPELE-NSUKA ENUGU STATE__RENAMED__2,0.00,410101
ENG, - OJI - ENUGU,1.00,2400002
KAN,KANO SITE - JOGANA,1.60,2900004
ENG,ENUGU-EMENE ENUGU STATE,2.00,400103
ENG,ENUGU-EMENE ENUGU STATE__RENAMED__1,2.00,400103
ENG,ENUGU-EMENE ENUGU STATE__RENAMED__2,2.00,400103
ENG, - ENUGU,4.70,2400001
PHC,PORT-HARCOURT SITE - KOKO AMA,7.60,2000010
SAP,SAPELE SITE - SAPELE,8.30,2000015
GGLD,GGLD-KWALI,10.00,1100021
GGLD,GGLD-KWALI__RENAMED__1,10.00,1100021
GGLD,GGLD-KWALI__RENAMED__2,10.00,1100021
PHC,PORT-HARCOURT SITE - PHC GU AKE RCC,10.00,4200009
PHC,PORT-HARCOURT SITE - ADA GEORGE,13.00,4200001
PHC,PORT-HARCOURT SITE - PORT HARCOURT - LOCAL,13.00,4200010
KAN,KANO-GERZAWA-KANO,14.00,702101
KAN,KANO-GERZAWA-KANO__RENAMED__1,14.00,702101
KAN,KANO-GERZAWA-KANO__RENAMED__2,14.00,702101
KAN,KANO SITE - KANO,17.60,2900005
PHC,PORT-HARCOURT SITE - RIVERS,21.00,4200011
KAN,KANO-DALA-KANO,25.00,700103
KAN,KANO-DALA-KANO__RENAMED__1,25.00,700103
KAN,KANO-DALA-KANO__RENAMED__2,25.00,700103
KAN,KANO-ZANGO-KATSINA,25.00,824104
KAN,KANO-ZANGO-KATSINA__RENAMED__1,25.00,824104
KAN,KANO-ZANGO-KATSINA__RENAMED__2,25.00,824104
GGLD, - DEIDEI,25.20,1100004
GGLD,Birnin Gwari,28.00,800108
GGLD,Birnin Gwari - Gwagwalada,28.00,800108
GGLD,Birnin Gwari - Gwagwalada 1,28.00,800108
KAN,KANO-KUMBOTSO-KANO,33.00,700101
KAN,KANO-KUMBOTSO-KANO__RENAMED__1,33.00,700101
KAN,KANO-KUMBOTSO-KANO__RENAMED__2,33.00,700101
SAP,SAPELE SITE - OVIRI COURT - OKWIEMO,33.60,2000013
GGLD,GWAGWALADA-AIRPORT-ROAD-FCT-ABUJA,34.00,900105
GGLD,GWAGWALADA-AIRPORT-ROAD-FCT-ABUJA__RENAMED__1,34.00,900105
GGLD,GWAGWALADA-AIRPORT-ROAD-FCT-ABUJA__RENAMED__2,34.00,900105
PHC,PORT-HARCOURT SITE - P/HARCOURT-EKET ROAD,36.70,4200008
SAP,SAPELE SITE - OGHARA,37.50,2000012
ENG,ENUGU-UDI ABIA ENUGU STATE,38.30,401104
ENG,ENUGU-UDI ABIA ENUGU STATE__RENAMED__1,38.30,401104
